Heat,Driver,Kart,Lap,Time
Heat 1,PG,7,6,0 days 00:00:40.372000
Heat 1,PG,7,7,0 days 00:00:39.743000
Heat 1,PG,7,8,0 days 00:00:39.073000
Heat 1,PG,7,9,0 days 00:00:39.572000
Heat 1,PG,7,10,0 days 00:00:39.278000
Heat 1,PG,7,11,0 days 00:00:39.062000
Heat 1,PG,7,12,0 days 00:00:39.235000
Heat 1,PG,7,13,0 days 00:00:39.097000
Heat 1,PG,7,14,0 days 00:00:38.769000
Heat 1,PG,7,15,0 days 00:00:39.998000
Heat 1,PG,7,16,0 days 00:00:38.824000
Heat 1,PG,7,17,0 days 00:00:38.348000
Heat 1,Amon,10,1,0 days 00:00:40.285000
Heat 1,Amon,10,2,0 days 00:00:39.733000
Heat 1,Amon,10,3,0 days 00:00:39.421000
Heat 1,Amon,10,4,0 days 00:00:39.960000
Heat 1,Amon,10,5,0 days 00:00:39.284000
Heat 1,Amon,10,6,0 days 00:00:39.115000
Heat 1,Amon,10,7,0 days 00:00:39.112000
Heat 1,Amon,10,8,0 days 00:00:38.963000
Heat 1,Amon,10,9,0 days 00:00:39.620000
Heat 1,Amon,10,10,0 days 00:00:41.309000
Heat 1,Amon,10,11,0 days 00:00:38.991000
Heat 1,Amon,10,12,0 days 00:00:38.926000
Heat 1,Amon,10,13,0 days 00:00:38.812000
Heat 1,Amon,10,14,0 days 00:00:39.509000
Heat 1,Amon,10,15,0 days 00:00:39.888000
Heat 1,Amon,10,16,0 days 00:00:39.624000
Heat 1,Amon,10,17,0 days 00:00:40.723000
Heat 1,Farv,2,1,0 days 00:00:40.176000
Heat 1,Farv,2,2,0 days 00:00:39.423000
Heat 1,Farv,2,3,0 days 00:00:39.592000
Heat 1,Farv,2,4,0 days 00:00:39.214000
Heat 1,Farv,2,5,0 days 00:00:39.368000
Heat 1,Farv,2,6,0 days 00:00:39.262000
Heat 1,Farv,2,7,0 days 00:00:43.131000
Heat 1,Farv,2,8,0 days 00:00:39.383000
Heat 1,Farv,2,9,0 days 00:00:39.537000
Heat 1,Farv,2,10,0 days 00:00:39.500000
Heat 1,Farv,2,11,0 days 00:00:39.564000
Heat 1,Farv,2,12,0 days 00:00:39.553000
Heat 1,Farv,2,13,0 days 00:00:39.383000
Heat 1,Farv,2,14,0 days 00:00:39.504000
Heat 1,Farv,2,15,0 days 00:00:39.616000
Heat 1,Farv,2,16,0 days 00:00:39.812000
Heat 1,Farv,2,17,0 days 00:00:39.813000
