Heat,Driver,Kart,Lap,Time
Heat 1,Hoestrup,8,1,0 days 00:00:38.461000
Heat 1,Hoestrup,8,2,0 days 00:00:37.784000
Heat 1,Hoestrup,8,3,0 days 00:00:37.379000
Heat 1,Hoestrup,8,4,0 days 00:00:37.487000
Heat 1,Hoestrup,8,5,0 days 00:00:36.658000
Heat 1,Hoestrup,8,6,0 days 00:00:36.807000
Heat 1,Hoestrup,8,7,0 days 00:00:36.617000
Heat 1,Hoestrup,8,8,0 days 00:00:36.550000
Heat 1,Hoestrup,8,9,0 days 00:00:36.697000
Heat 1,Hoestrup,8,10,0 days 00:00:49.155000
Heat 1,Hoestrup,8,11,0 days 00:00:40.725000
Heat 1,Hoestrup,8,12,0 days 00:00:36.620000
Heat 1,Hoestrup,8,13,0 days 00:00:36.426000
Heat 1,Hoestrup,8,14,0 days 00:00:36.498000
Heat 1,Hoestrup,8,15,0 days 00:00:42.949000
Heat 1,Hoestrup,8,16,0 days 00:00:36.424000
Heat 1,Hoestrup,8,17,0 days 00:00:37.650000
Heat 1,Hoestrup,8,18,0 days 00:00:47.425000
Heat 1,Msb,5,1,0 days 00:00:39.269000
Heat 1,Msb,5,2,0 days 00:00:40.217000
Heat 1,Msb,5,3,0 days 00:00:36.728000
Heat 1,Msb,5,4,0 days 00:00:37.191000
Heat 1,Msb,5,5,0 days 00:00:40.813000
Heat 1,Msb,5,6,0 days 00:00:37.014000
Heat 1,Msb,5,7,0 days 00:00:36.700000
Heat 1,Msb,5,8,0 days 00:00:36.924000
Heat 1,Msb,5,9,0 days 00:00:37.119000
Heat 1,Msb,5,10,0 days 00:00:37.094000
Heat 1,Msb,5,11,0 days 00:00:37.106000
Heat 1,Msb,5,12,0 days 00:00:37.020000
Heat 1,Msb,5,13,0 days 00:00:37.342000
Heat 1,Msb,5,14,0 days 00:00:37.454000
Heat 1,Msb,5,15,0 days 00:00:39.583000
Heat 1,Msb,5,16,0 days 00:00:45.090000
Heat 1,Msb,5,17,0 days 00:00:37.301000
Heat 1,Msb,5,18,0 days 00:00:38.199000
Heat 1,Kenpe,9,1,0 days 00:00:38.686000
Heat 1,Kenpe,9,2,0 days 00:00:37.657000
Heat 1,Kenpe,9,3,0 days 00:00:37.133000
Heat 1,Kenpe,9,4,0 days 00:00:37.800000
Heat 1,Kenpe,9,5,0 days 00:00:37.180000
Heat 1,Kenpe,9,6,0 days 00:00:37.001000
Heat 1,Kenpe,9,7,0 days 00:00:37.152000
Heat 1,Kenpe,9,8,0 days 00:00:37.007000
Heat 1,Kenpe,9,9,0 days 00:00:36.786000
Heat 1,Kenpe,9,10,0 days 00:00:36.903000
Heat 1,Kenpe,9,11,0 days 00:00:46.510000
Heat 1,Kenpe,9,12,0 days 00:00:37.001000
Heat 1,Kenpe,9,13,0 days 00:00:36.912000
Heat 1,Kenpe,9,14,0 days 00:00:40.282000
Heat 1,Kenpe,9,15,0 days 00:00:38.475000
Heat 1,Kenpe,9,16,0 days 00:00:37.352000
Heat 1,Kenpe,9,17,0 days 00:00:41.199000
Heat 1,Kenpe,9,18,0 days 00:00:38.167000
Heat 1,Raha,12,1,0 days 00:00:40.207000
Heat 1,Raha,12,2,0 days 00:00:38.098000
Heat 1,Raha,12,3,0 days 00:00:42.569000
Heat 1,Raha,12,4,0 days 00:00:37.846000
Heat 1,Raha,12,5,0 days 00:00:38.106000
Heat 1,Raha,12,6,0 days 00:00:38.029000
Heat 1,Raha,12,7,0 days 00:00:45.915000
Heat 1,Raha,12,8,0 days 00:00:37.689000
Heat 1,Raha,12,9,0 days 00:00:37.685000
Heat 1,Raha,12,10,0 days 00:00:37.609000
Heat 1,Raha,12,11,0 days 00:00:48.370000
Heat 1,Raha,12,12,0 days 00:00:36.898000
Heat 1,Raha,12,13,0 days 00:00:36.846000
Heat 1,Raha,12,14,0 days 00:00:43.870000
Heat 1,Raha,12,15,0 days 00:00:38.910000
Heat 1,Raha,12,16,0 days 00:00:37.196000
Heat 1,Raha,12,17,0 days 00:00:37.172000
Heat 1,Pesve,4,1,0 days 00:00:39.303000
Heat 1,Pesve,4,2,0 days 00:00:38.593000
Heat 1,Pesve,4,3,0 days 00:00:38.095000
Heat 1,Pesve,4,4,0 days 00:00:37.539000
Heat 1,Pesve,4,5,0 days 00:00:37.398000
Heat 1,Pesve,4,6,0 days 00:00:37.335000
Heat 1,Pesve,4,7,0 days 00:00:37.422000
Heat 1,Pesve,4,8,0 days 00:00:37.106000
Heat 1,Pesve,4,9,0 days 00:00:37.168000
Heat 1,Pesve,4,10,0 days 00:00:37.378000
Heat 1,Pesve,4,11,0 days 00:00:37.098000
Heat 1,Pesve,4,12,0 days 00:00:37.076000
Heat 1,Pesve,4,13,0 days 00:00:40.814000
Heat 1,Pesve,4,14,0 days 00:00:37.032000
Heat 1,Pesve,4,15,0 days 00:00:41.398000
Heat 1,Pesve,4,16,0 days 00:00:37.197000
Heat 1,Pesve,4,17,0 days 00:00:45.301000
Heat 1,Pesve,4,18,0 days 00:00:36.908000
Heat 1,Jknu,3,1,0 days 00:00:39.600000
Heat 1,Jknu,3,2,0 days 00:00:41.725000
Heat 1,Jknu,3,3,0 days 00:00:38.103000
Heat 1,Jknu,3,4,0 days 00:00:38.168000
Heat 1,Jknu,3,5,0 days 00:00:38.422000
Heat 1,Jknu,3,6,0 days 00:00:38.051000
Heat 1,Jknu,3,7,0 days 00:00:38.061000
Heat 1,Jknu,3,8,0 days 00:00:38.073000
Heat 1,Jknu,3,9,0 days 00:00:37.917000
Heat 1,Jknu,3,10,0 days 00:00:38.330000
Heat 1,Jknu,3,11,0 days 00:00:37.744000
Heat 1,Jknu,3,12,0 days 00:00:37.885000
Heat 1,Jknu,3,13,0 days 00:00:37.292000
Heat 1,Jknu,3,14,0 days 00:00:37.415000
Heat 1,Jknu,3,15,0 days 00:00:37.571000
Heat 1,Jknu,3,16,0 days 00:00:37.750000
Heat 1,Jknu,3,17,0 days 00:00:37.971000
Heat 1,Jknu,3,18,0 days 00:00:37.443000
Heat 1,Assk,11,1,0 days 00:00:40.489000
Heat 1,Assk,11,2,0 days 00:00:39.596000
Heat 1,Assk,11,3,0 days 00:00:39.332000
Heat 1,Assk,11,4,0 days 00:00:39.150000
Heat 1,Assk,11,5,0 days 00:00:38.558000
Heat 1,Assk,11,6,0 days 00:00:38.847000
Heat 1,Assk,11,7,0 days 00:00:39.659000
Heat 1,Assk,11,8,0 days 00:00:37.828000
Heat 1,Assk,11,9,0 days 00:00:38.100000
Heat 1,Assk,11,10,0 days 00:00:37.607000
Heat 1,Assk,11,11,0 days 00:00:37.577000
Heat 1,Assk,11,12,0 days 00:00:37.390000
Heat 1,Assk,11,13,0 days 00:00:37.924000
Heat 1,Assk,11,14,0 days 00:00:38.051000
Heat 1,Assk,11,15,0 days 00:00:37.749000
Heat 1,Assk,11,16,0 days 00:00:37.808000
Heat 1,Assk,11,17,0 days 00:00:37.886000
Heat 1,Assk,11,18,0 days 00:00:37.777000
Heat 1,Ufp,0,1,0 days 00:00:40.343000
Heat 1,Ufp,0,2,0 days 00:00:39.682000
Heat 1,Ufp,0,3,0 days 00:00:39.178000
Heat 1,Ufp,0,4,0 days 00:00:39.131000
Heat 1,Ufp,0,5,0 days 00:00:38.749000
Heat 1,Ufp,0,6,0 days 00:00:38.567000
Heat 1,Ufp,0,7,0 days 00:00:38.410000
Heat 1,Ufp,0,8,0 days 00:00:38.395000
Heat 1,Ufp,0,9,0 days 00:00:38.435000
Heat 1,Ufp,0,10,0 days 00:00:38.194000
Heat 1,Ufp,0,11,0 days 00:00:37.803000
Heat 1,Ufp,0,12,0 days 00:00:38.032000
Heat 1,Ufp,0,13,0 days 00:00:37.979000
Heat 1,Ufp,0,14,0 days 00:00:37.836000
Heat 1,Ufp,0,15,0 days 00:00:38.548000
Heat 1,Ufp,0,16,0 days 00:00:38.357000
Heat 1,Ufp,0,17,0 days 00:00:38.040000
Heat 1,Ufp,0,18,0 days 00:00:40.559000
Heat 1,PG,7,1,0 days 00:00:40.528000
Heat 1,PG,7,2,0 days 00:00:39.846000
Heat 1,PG,7,3,0 days 00:00:39.281000
Heat 1,PG,7,4,0 days 00:00:39.105000
Heat 1,PG,7,5,0 days 00:00:38.748000
