Heat,Driver,Kart,Lap,Time
Heat 3,Hoestrup,14,1,0 days 00:00:41.510000
Heat 3,Hoestrup,14,2,0 days 00:03:04.263000
Heat 3,Hoestrup,14,3,0 days 00:00:37.875000
Heat 3,Hoestrup,14,4,0 days 00:00:37.093000
Heat 3,Hoestrup,14,5,0 days 00:00:36.724000
Heat 3,Hoestrup,14,6,0 days 00:00:40.331000
Heat 3,Hoestrup,14,7,0 days 00:00:36.895000
Heat 3,Hoestrup,14,8,0 days 00:00:36.662000
Heat 3,Hoestrup,14,9,0 days 00:00:42.319000
Heat 3,Hoestrup,14,10,0 days 00:00:38.011000
Heat 3,Hoestrup,14,11,0 days 00:00:36.123000
Heat 3,Hoestrup,14,12,0 days 00:00:36.105000
Heat 3,Hoestrup,14,13,0 days 00:00:36.393000
Heat 3,Hoestrup,14,14,0 days 00:00:37.520000
Heat 3,Hoestrup,14,15,0 days 00:00:36.439000
Heat 3,Pesve,11,1,0 days 00:00:37.662000
Heat 3,Pesve,11,2,0 days 00:00:36.804000
Heat 3,Pesve,11,3,0 days 00:00:36.483000
Heat 3,Pesve,11,4,0 days 00:00:36.517000
Heat 3,Pesve,11,5,0 days 00:00:36.256000
Heat 3,Pesve,11,6,0 days 00:00:36.342000
Heat 3,Pesve,11,7,0 days 00:00:36.344000
Heat 3,Pesve,11,8,0 days 00:00:36.465000
Heat 3,Pesve,11,9,0 days 00:00:37.527000
Heat 3,Pesve,11,10,0 days 00:00:41.175000
Heat 3,Pesve,11,11,0 days 00:00:36.653000
Heat 3,Pesve,11,12,0 days 00:00:37.797000
Heat 3,Pesve,11,13,0 days 00:00:41.884000
Heat 3,Pesve,11,14,0 days 00:00:37.125000
Heat 3,Pesve,11,15,0 days 00:00:36.511000
Heat 3,Pesve,11,16,0 days 00:00:36.365000
Heat 3,Pesve,11,17,0 days 00:00:38.160000
Heat 3,Pesve,11,18,0 days 00:00:42.746000
Heat 3,Pesve,11,19,0 days 00:00:36.508000
Heat 3,Msb,5,1,0 days 00:00:36.892000
Heat 3,Msb,5,2,0 days 00:00:37.007000
Heat 3,Msb,5,3,0 days 00:00:36.508000
Heat 3,Msb,5,4,0 days 00:00:36.322000
Heat 3,Msb,5,5,0 days 00:00:36.794000
Heat 3,Msb,5,6,0 days 00:00:36.632000
Heat 3,Msb,5,7,0 days 00:00:36.308000
Heat 3,Msb,5,8,0 days 00:00:36.383000
Heat 3,Msb,5,9,0 days 00:00:37.346000
Heat 3,Msb,5,10,0 days 00:00:40.002000
Heat 3,Msb,5,11,0 days 00:00:36.693000
Heat 3,Msb,5,12,0 days 00:00:37.774000
Heat 3,Msb,5,13,0 days 00:00:41.924000
Heat 3,Msb,5,14,0 days 00:00:37.160000
Heat 3,Msb,5,15,0 days 00:00:36.268000
Heat 3,Msb,5,16,0 days 00:00:36.531000
Heat 3,Msb,5,17,0 days 00:00:38.149000
Heat 3,Msb,5,18,0 days 00:00:39.308000
Heat 3,Msb,5,19,0 days 00:00:38.641000
Heat 3,Raha,7,1,0 days 00:00:37.178000
Heat 3,Raha,7,2,0 days 00:00:37.334000
Heat 3,Raha,7,3,0 days 00:00:37.194000
Heat 3,Raha,7,4,0 days 00:00:45.369000
Heat 3,Raha,7,5,0 days 00:00:36.638000
Heat 3,Raha,7,6,0 days 00:00:36.940000
Heat 3,Raha,7,7,0 days 00:00:38.776000
Heat 3,Raha,7,8,0 days 00:00:50.541000
Heat 3,Raha,7,9,0 days 00:00:36.393000
Heat 3,Raha,7,10,0 days 00:00:36.710000
Heat 3,Raha,7,11,0 days 00:00:36.756000
Heat 3,Raha,7,12,0 days 00:00:52.950000
Heat 3,Raha,7,13,0 days 00:00:36.452000
Heat 3,Raha,7,14,0 days 00:00:36.724000
Heat 3,Raha,7,15,0 days 00:00:36.785000
Heat 3,Raha,7,16,0 days 00:00:49.168000
Heat 3,Raha,7,17,0 days 00:00:36.422000
Heat 3,Assk,8,1,0 days 00:00:38.862000
Heat 3,Assk,8,2,0 days 00:00:38.721000
Heat 3,Assk,8,3,0 days 00:00:38.203000
Heat 3,Assk,8,4,0 days 00:00:39.242000
Heat 3,Assk,8,5,0 days 00:00:37.747000
Heat 3,Assk,8,6,0 days 00:00:37.858000
Heat 3,Assk,8,7,0 days 00:00:37.926000
Heat 3,Assk,8,8,0 days 00:00:37.496000
Heat 3,Assk,8,9,0 days 00:00:37.514000
Heat 3,Assk,8,10,0 days 00:00:37.682000
Heat 3,Assk,8,11,0 days 00:00:37.459000
Heat 3,Assk,8,12,0 days 00:00:48.975000
Heat 3,Assk,8,13,0 days 00:00:36.574000
Heat 3,Assk,8,14,0 days 00:00:37.016000
Heat 3,Assk,8,15,0 days 00:00:37.001000
Heat 3,Assk,8,16,0 days 00:00:37.004000
Heat 3,Assk,8,17,0 days 00:00:37.476000
Heat 3,Assk,8,18,0 days 00:00:37.048000
Heat 3,Farv,10,1,0 days 00:00:38.784000
Heat 3,Farv,10,2,0 days 00:00:37.427000
Heat 3,Farv,10,3,0 days 00:00:37.575000
Heat 3,Farv,10,4,0 days 00:00:38.506000
Heat 3,Farv,10,5,0 days 00:00:40.878000
Heat 3,Farv,10,6,0 days 00:00:37.338000
Heat 3,Farv,10,7,0 days 00:00:37.323000
Heat 3,Farv,10,8,0 days 00:00:42
Heat 3,Farv,10,9,0 days 00:00:37.164000
Heat 3,Farv,10,10,0 days 00:00:36.907000
Heat 3,Farv,10,11,0 days 00:00:38.270000
Heat 3,Farv,10,12,0 days 00:00:44.719000
Heat 3,Farv,10,13,0 days 00:00:37.045000
Heat 3,Farv,10,14,0 days 00:00:37.053000
Heat 3,Farv,10,15,0 days 00:00:36.720000
Heat 3,Farv,10,16,0 days 00:00:37.018000
Heat 3,Farv,10,17,0 days 00:00:37.257000
Heat 3,Farv,10,18,0 days 00:00:36.830000
Heat 3,Kenpe,22,1,0 days 00:00:42.467000
Heat 3,Kenpe,22,2,0 days 00:03:21.248000
Heat 3,Kenpe,22,3,0 days 00:00:48.160000
Heat 3,Kenpe,22,4,0 days 00:00:38.708000
Heat 3,Kenpe,22,5,0 days 00:00:39.902000
Heat 3,Kenpe,22,6,0 days 00:00:42.493000
Heat 3,Kenpe,22,7,0 days 00:00:43.132000
Heat 3,Kenpe,22,8,0 days 00:00:41.063000
Heat 3,Kenpe,22,9,0 days 00:00:37.006000
Heat 3,Kenpe,22,10,0 days 00:00:37.921000
Heat 3,Kenpe,22,11,0 days 00:00:36.800000
Heat 3,Kenpe,22,12,0 days 00:00:37.086000
Heat 3,Kenpe,22,13,0 days 00:00:37.413000
Heat 3,PG,6,1,0 days 00:00:38.403000
Heat 3,PG,6,2,0 days 00:00:39.126000
Heat 3,PG,6,3,0 days 00:00:39.359000
Heat 3,PG,6,4,0 days 00:00:39.340000
Heat 3,PG,6,5,0 days 00:00:38.572000
Heat 3,PG,6,6,0 days 00:00:37.714000
Heat 3,PG,6,7,0 days 00:00:37.756000
Heat 3,PG,6,8,0 days 00:00:37.446000
Heat 3,PG,6,9,0 days 00:00:37.851000
Heat 3,PG,6,10,0 days 00:00:37.615000
Heat 3,PG,6,11,0 days 00:00:37.876000
Heat 3,PG,6,12,0 days 00:00:51.781000
Heat 3,PG,6,13,0 days 00:00:37.996000
Heat 3,PG,6,14,0 days 00:00:37.843000
Heat 3,PG,6,15,0 days 00:00:37.486000
Heat 3,PG,6,16,0 days 00:00:37.492000
Heat 3,PG,6,17,0 days 00:00:38.037000
Heat 3,PG,6,18,0 days 00:00:37.326000
Heat 3,Amon,3,1,0 days 00:00:38.526000
Heat 3,Amon,3,2,0 days 00:00:38.644000
Heat 3,Amon,3,3,0 days 00:00:38.696000
Heat 3,Amon,3,4,0 days 00:00:38.257000
Heat 3,Amon,3,5,0 days 00:00:40.173000
Heat 3,Amon,3,6,0 days 00:00:37.701000
Heat 3,Amon,3,7,0 days 00:00:37.897000
Heat 3,Amon,3,8,0 days 00:00:37.779000
Heat 3,Amon,3,9,0 days 00:00:37.665000
Heat 3,Amon,3,10,0 days 00:00:38.042000
Heat 3,Amon,3,11,0 days 00:00:37.464000
Heat 3,Amon,3,12,0 days 00:00:48.024000
Heat 3,Amon,3,13,0 days 00:00:37.772000
Heat 3,Amon,3,14,0 days 00:00:37.631000
Heat 3,Amon,3,15,0 days 00:00:37.827000
Heat 3,Amon,3,16,0 days 00:00:37.684000
Heat 3,Amon,3,17,0 days 00:00:38.042000
Heat 3,Amon,3,18,0 days 00:00:37.720000
Heat 3,Jknu,23,1,0 days 00:00:38.938000
Heat 3,Jknu,23,2,0 days 00:00:38.859000
Heat 3,Jknu,23,3,0 days 00:00:38.571000
Heat 3,Jknu,23,4,0 days 00:00:38.439000
Heat 3,Jknu,23,5,0 days 00:00:38.497000
Heat 3,Jknu,23,6,0 days 00:00:38.523000
Heat 3,Jknu,23,7,0 days 00:00:38.485000
Heat 3,Jknu,23,8,0 days 00:00:38.792000
Heat 3,Jknu,23,9,0 days 00:00:38.982000
Heat 3,Jknu,23,10,0 days 00:00:38.232000
Heat 3,Jknu,23,11,0 days 00:00:40.771000
Heat 3,Jknu,23,12,0 days 00:00:45.702000
Heat 3,Jknu,23,13,0 days 00:00:38.313000
Heat 3,Jknu,23,14,0 days 00:00:38.225000
Heat 3,Jknu,23,15,0 days 00:00:38.458000
Heat 3,Jknu,23,16,0 days 00:00:39.800000
Heat 3,Jknu,23,17,0 days 00:00:47.857000
Heat 3,Ufp,12,1,0 days 00:00:41.558000
Heat 3,Ufp,12,2,0 days 00:00:39.667000
Heat 3,Ufp,12,3,0 days 00:00:39.188000
Heat 3,Ufp,12,4,0 days 00:00:39.444000
Heat 3,Ufp,12,5,0 days 00:00:43.031000
Heat 3,Ufp,12,6,0 days 00:00:39.749000
Heat 3,Ufp,12,7,0 days 00:00:39.480000
Heat 3,Ufp,12,8,0 days 00:00:39.493000
Heat 3,Ufp,12,9,0 days 00:00:39.317000
Heat 3,Ufp,12,10,0 days 00:00:39.476000
Heat 3,Ufp,12,11,0 days 00:00:40.531000
Heat 3,Ufp,12,12,0 days 00:00:43.318000
Heat 3,Ufp,12,13,0 days 00:00:40.179000
Heat 3,Ufp,12,14,0 days 00:00:41.821000
Heat 3,Ufp,12,15,0 days 00:00:40.667000
Heat 3,Ufp,12,16,0 days 00:00:40.086000
Heat 3,Ufp,12,17,0 days 00:00:39.513000
