Heat,Driver,Kart,Lap,Time
Heat 4,Cfon,14,1,0 days 00:00:41.360000
Heat 4,Cfon,14,2,0 days 00:00:39.863000
Heat 4,Cfon,14,3,0 days 00:00:39.460000
Heat 4,Cfon,14,4,0 days 00:00:38.992000
Heat 4,Cfon,14,5,0 days 00:00:36.825000
Heat 4,Cfon,14,6,0 days 00:00:37.974000
Heat 4,Cfon,14,7,0 days 00:00:39.001000
Heat 4,Cfon,14,8,0 days 00:00:37.138000
Heat 4,Cfon,14,9,0 days 00:00:37.505000
Heat 4,Cfon,14,10,0 days 00:00:37.452000
Heat 4,Cfon,14,11,0 days 00:00:36.846000
Heat 4,Cfon,14,12,0 days 00:00:37.736000
Heat 4,Cfon,14,13,0 days 00:00:37.879000
Heat 4,Cfon,14,14,0 days 00:00:38.036000
Heat 4,Cfon,14,15,0 days 00:00:37.007000
Heat 4,Cfon,14,16,0 days 00:00:36.349000
Heat 4,Cfon,14,17,0 days 00:00:38.372000
Heat 4,Cfon,14,18,0 days 00:00:37.911000
Heat 4,Henpe,11,1,0 days 00:00:46.111000
Heat 4,Henpe,11,2,0 days 00:00:46.625000
Heat 4,Henpe,11,3,0 days 00:00:46.915000
Heat 4,Henpe,11,4,0 days 00:02:32.453000
Heat 4,Henpe,11,5,0 days 00:00:37.396000
Heat 4,Henpe,11,6,0 days 00:00:36.968000
Heat 4,Henpe,11,7,0 days 00:00:37.239000
Heat 4,Henpe,11,8,0 days 00:00:36.947000
Heat 4,Henpe,11,9,0 days 00:00:36.843000
Heat 4,Henpe,11,10,0 days 00:00:36.511000
Heat 4,Henpe,11,11,0 days 00:00:36.677000
Heat 4,Henpe,11,12,0 days 00:00:36.685000
Heat 4,Henpe,11,13,0 days 00:00:37.876000
Heat 4,Henpe,11,14,0 days 00:00:36.531000
Heat 4,Henpe,11,15,0 days 00:00:36.593000
Heat 4,Dege,6,1,0 days 00:00:38.568000
Heat 4,Dege,6,2,0 days 00:00:38.242000
Heat 4,Dege,6,3,0 days 00:00:42.569000
Heat 4,Dege,6,4,0 days 00:00:40.015000
Heat 4,Dege,6,5,0 days 00:00:37.984000
Heat 4,Dege,6,6,0 days 00:00:37.914000
Heat 4,Dege,6,7,0 days 00:00:37.815000
Heat 4,Dege,6,8,0 days 00:00:37.465000
Heat 4,Dege,6,9,0 days 00:00:37.902000
Heat 4,Dege,6,10,0 days 00:00:39.803000
Heat 4,Dege,6,11,0 days 00:00:36.836000
Heat 4,Dege,6,12,0 days 00:00:37.205000
Heat 4,Dege,6,13,0 days 00:00:37.634000
Heat 4,Dege,6,14,0 days 00:00:38.102000
Heat 4,Dege,6,15,0 days 00:00:37.104000
Heat 4,Dege,6,16,0 days 00:00:37.253000
Heat 4,Dege,6,17,0 days 00:00:37.009000
Heat 4,Dege,6,18,0 days 00:00:39.586000
Heat 4,Cmail,5,1,0 days 00:00:39.271000
Heat 4,Cmail,5,2,0 days 00:00:39.643000
Heat 4,Cmail,5,3,0 days 00:00:38.239000
Heat 4,Cmail,5,4,0 days 00:00:39.069000
Heat 4,Cmail,5,5,0 days 00:00:37.781000
Heat 4,Cmail,5,6,0 days 00:00:37.827000
Heat 4,Cmail,5,7,0 days 00:00:37.744000
Heat 4,Cmail,5,8,0 days 00:00:37.474000
Heat 4,Cmail,5,9,0 days 00:00:38.151000
Heat 4,Cmail,5,10,0 days 00:00:37.722000
Heat 4,Cmail,5,11,0 days 00:00:37.489000
Heat 4,Cmail,5,12,0 days 00:00:37.180000
Heat 4,Cmail,5,13,0 days 00:00:37.947000
Heat 4,Cmail,5,14,0 days 00:00:37.752000
Heat 4,Cmail,5,15,0 days 00:00:37.109000
Heat 4,Cmail,5,16,0 days 00:00:36.842000
Heat 4,Cmail,5,17,0 days 00:00:37.580000
Heat 4,Cmail,5,18,0 days 00:00:38
Heat 4,Djak,22,1,0 days 00:00:42.188000
Heat 4,Djak,22,2,0 days 00:00:39.996000
Heat 4,Djak,22,3,0 days 00:00:42.143000
Heat 4,Djak,22,4,0 days 00:00:40.221000
Heat 4,Djak,22,5,0 days 00:01:18.510000
Heat 4,Djak,22,6,0 days 00:00:40.052000
Heat 4,Djak,22,7,0 days 00:00:40.045000
Heat 4,Djak,22,8,0 days 00:00:40.844000
Heat 4,Djak,22,9,0 days 00:03:56.665000
Heat 4,Djak,22,10,0 days 00:00:37.061000
Heat 4,Djak,22,11,0 days 00:00:37.105000
Heat 4,Djak,22,12,0 days 00:00:36.974000
Heat 4,Srran,12,1,0 days 00:00:37.504000
Heat 4,Srran,12,2,0 days 00:00:38.431000
Heat 4,Srran,12,3,0 days 00:00:37.440000
Heat 4,Srran,12,4,0 days 00:00:37.527000
Heat 4,Srran,12,5,0 days 00:00:37.109000
Heat 4,Srran,12,6,0 days 00:00:37.300000
Heat 4,Srran,12,7,0 days 00:00:37.409000
Heat 4,Srran,12,8,0 days 00:00:37.460000
Heat 4,Srran,12,9,0 days 00:00:37.130000
Heat 4,Srran,12,10,0 days 00:00:38.505000
Heat 4,Srran,12,11,0 days 00:00:37.008000
Heat 4,Srran,12,12,0 days 00:00:37.708000
Heat 4,Srran,12,13,0 days 00:00:38.136000
Heat 4,Srran,12,14,0 days 00:00:42.277000
Heat 4,Srran,12,15,0 days 00:00:37.569000
Heat 4,Srran,12,16,0 days 00:00:37.310000
Heat 4,Srran,12,17,0 days 00:00:37.395000
Heat 4,Srran,12,18,0 days 00:00:38.768000
Heat 4,Janmj,8,1,0 days 00:00:45.043000
Heat 4,Janmj,8,2,0 days 00:00:38.793000
Heat 4,Janmj,8,3,0 days 00:00:38.153000
Heat 4,Janmj,8,4,0 days 00:00:37.704000
Heat 4,Janmj,8,5,0 days 00:00:37.531000
Heat 4,Janmj,8,6,0 days 00:00:38.753000
Heat 4,Janmj,8,7,0 days 00:00:37.548000
Heat 4,Janmj,8,8,0 days 00:00:44.098000
Heat 4,Janmj,8,9,0 days 00:00:37.509000
Heat 4,Janmj,8,10,0 days 00:00:37.687000
Heat 4,Janmj,8,11,0 days 00:00:37.688000
Heat 4,Janmj,8,12,0 days 00:00:37.058000
Heat 4,Janmj,8,13,0 days 00:00:37.340000
Heat 4,Janmj,8,14,0 days 00:00:37.539000
Heat 4,Janmj,8,15,0 days 00:00:37.637000
Heat 4,Janmj,8,16,0 days 00:00:37.877000
Heat 4,Janmj,8,17,0 days 00:00:38.094000
Heat 4,Janmj,8,18,0 days 00:00:38.891000
Heat 4,Hadu,10,1,0 days 00:00:39.114000
Heat 4,Hadu,10,2,0 days 00:00:38.337000
Heat 4,Hadu,10,3,0 days 00:00:38.247000
Heat 4,Hadu,10,4,0 days 00:00:37.778000
Heat 4,Hadu,10,5,0 days 00:00:39.246000
Heat 4,Hadu,10,6,0 days 00:00:37.986000
Heat 4,Hadu,10,7,0 days 00:00:38.777000
Heat 4,Hadu,10,8,0 days 00:00:42.597000
Heat 4,Hadu,10,9,0 days 00:00:37.819000
Heat 4,Hadu,10,10,0 days 00:00:37.384000
Heat 4,Hadu,10,11,0 days 00:00:37.906000
Heat 4,Hadu,10,12,0 days 00:00:37.357000
Heat 4,Hadu,10,13,0 days 00:00:37.576000
Heat 4,Hadu,10,14,0 days 00:00:37.931000
Heat 4,Hadu,10,15,0 days 00:00:37.610000
Heat 4,Hadu,10,16,0 days 00:00:37.623000
Heat 4,Hadu,10,17,0 days 00:00:37.847000
Heat 4,Hadu,10,18,0 days 00:00:37.177000
