Heat,Driver,Kart,Lap,Time
Heat 4,Jeci,3,1,0 days 00:00:38.268000
Heat 4,Jeci,3,2,0 days 00:00:37.960000
Heat 4,Jeci,3,3,0 days 00:00:38.565000
Heat 4,Jeci,3,4,0 days 00:00:38.043000
Heat 4,Jeci,3,5,0 days 00:00:37.957000
Heat 4,Jeci,3,6,0 days 00:00:38.109000
Heat 4,Jeci,3,7,0 days 00:00:37.938000
Heat 4,Jeci,3,8,0 days 00:00:39.658000
Heat 4,Jeci,3,9,0 days 00:00:45.599000
Heat 4,Jeci,3,10,0 days 00:00:38.101000
Heat 4,Jeci,3,11,0 days 00:00:37.943000
Heat 4,Jeci,3,12,0 days 00:00:37.361000
Heat 4,Jeci,3,13,0 days 00:00:37.520000
Heat 4,Jeci,3,14,0 days 00:00:42.550000
Heat 4,Jeci,3,15,0 days 00:00:37.918000
Heat 4,Jeci,3,16,0 days 00:00:37.254000
Heat 4,Jeci,3,17,0 days 00:00:37.813000
Heat 4,Jeci,3,18,0 days 00:00:42.611000
Heat 4,Olel,9,1,0 days 00:00:39.027000
Heat 4,Olel,9,2,0 days 00:00:39.174000
Heat 4,Olel,9,3,0 days 00:00:46.925000
Heat 4,Olel,9,4,0 days 00:00:39.867000
Heat 4,Olel,9,5,0 days 00:00:38.378000
Heat 4,Olel,9,6,0 days 00:00:38.620000
Heat 4,Olel,9,7,0 days 00:00:44.589000
Heat 4,Olel,9,8,0 days 00:00:39.840000
Heat 4,Olel,9,9,0 days 00:00:42.214000
Heat 4,Olel,9,10,0 days 00:00:38.044000
Heat 4,Olel,9,11,0 days 00:00:37.631000
Heat 4,Olel,9,12,0 days 00:00:39.222000
Heat 4,Olel,9,13,0 days 00:00:40.657000
Heat 4,Olel,9,14,0 days 00:00:37.917000
Heat 4,Olel,9,15,0 days 00:00:38.111000
Heat 4,Olel,9,16,0 days 00:00:37.786000
Heat 4,Olel,9,17,0 days 00:00:37.893000
Heat 4,Amt,23,1,0 days 00:00:41.528000
Heat 4,Amt,23,2,0 days 00:00:41.725000
Heat 4,Amt,23,3,0 days 00:00:40.003000
Heat 4,Amt,23,4,0 days 00:00:40.208000
Heat 4,Amt,23,5,0 days 00:00:39.908000
Heat 4,Amt,23,6,0 days 00:00:39.538000
Heat 4,Amt,23,7,0 days 00:00:39.816000
Heat 4,Amt,23,8,0 days 00:00:39.958000
Heat 4,Amt,23,9,0 days 00:00:39.562000
Heat 4,Amt,23,10,0 days 00:00:39.281000
Heat 4,Amt,23,11,0 days 00:00:39.115000
Heat 4,Amt,23,12,0 days 00:00:39.407000
Heat 4,Amt,23,13,0 days 00:00:43.513000
Heat 4,Amt,23,14,0 days 00:00:41.713000
Heat 4,Amt,23,15,0 days 00:00:39.992000
Heat 4,Amt,23,16,0 days 00:00:39.871000
Heat 4,Amt,23,17,0 days 00:00:39.718000
