Heat,Driver,Kart,Lap,Time
Heat 2,Janmj,8,9,0 days 00:00:43.007000
Heat 2,Janmj,8,10,0 days 00:00:38.537000
Heat 2,Janmj,8,11,0 days 00:00:43.967000
Heat 2,Srran,23,1,0 days 00:04:44.829000
Heat 2,Srran,23,2,0 days 00:00:41.194000
Heat 2,Srran,23,3,0 days 00:00:40.262000
Heat 2,Srran,23,4,0 days 00:00:39.687000
Heat 2,Srran,23,5,0 days 00:00:39.311000
Heat 2,Srran,23,6,0 days 00:00:38.832000
Heat 2,Srran,23,7,0 days 00:00:39.742000
Heat 2,Srran,23,8,0 days 00:00:39.126000
Heat 2,Srran,23,9,0 days 00:00:40.708000
Heat 2,Dege,5,1,0 days 00:00:43.371000
Heat 2,Dege,5,2,0 days 00:03:38.800000
Heat 2,Dege,5,3,0 days 00:00:41.630000
Heat 2,Dege,5,4,0 days 00:00:39.383000
Heat 2,Dege,5,5,0 days 00:00:38.895000
Heat 2,Dege,5,6,0 days 00:00:42.555000
Heat 2,Dege,5,7,0 days 00:00:45.054000
Heat 2,Dege,5,8,0 days 00:00:38.895000
Heat 2,Dege,5,9,0 days 00:00:39.709000
Heat 2,Dege,5,10,0 days 00:00:40.671000
Heat 2,Dege,5,11,0 days 00:00:41.531000
Heat 2,Alebi,2,1,0 days 00:00:43.802000
Heat 2,Alebi,2,2,0 days 00:00:43.874000
Heat 2,Alebi,2,3,0 days 00:03:29.803000
Heat 2,Alebi,2,4,0 days 00:00:42.923000
Heat 2,Alebi,2,5,0 days 00:00:41.452000
Heat 2,Alebi,2,6,0 days 00:00:41.861000
Heat 2,Alebi,2,7,0 days 00:00:41.358000
Heat 2,Alebi,2,8,0 days 00:00:41.822000
Heat 2,Alebi,2,9,0 days 00:00:42.011000
Heat 2,Alebi,2,10,0 days 00:00:41.438000
Heat 2,Alebi,2,11,0 days 00:00:41.680000
